tstamp,country,observation,obs_ord,count
2020-03-15,China,total_cases,Total Cases,80824
2020-03-15,China,new_cases,New Cases,11
2020-03-15,China,total_deaths,Total Deaths,3189
2020-03-15,China,new_deaths,NA,13
2020-03-15,China,total_recovered,Total Recovered,65573
2020-03-15,China,active_cases,Active Cases,12062
2020-03-15,China,serious_critical,Serious Critical,3610
2020-03-15,China,tot_cases_1m_pop,Total Cases per 1m Population,56.2
2020-03-15,China,death_rate,Death Rate,3.95
2020-03-15,Italy,total_cases,Total Cases,21157
2020-03-15,Italy,new_cases,New Cases,3497
2020-03-15,Italy,total_deaths,Total Deaths,1441
2020-03-15,Italy,new_deaths,NA,175
2020-03-15,Italy,total_recovered,Total Recovered,1966
2020-03-15,Italy,active_cases,Active Cases,17750
2020-03-15,Italy,serious_critical,Serious Critical,1518
2020-03-15,Italy,tot_cases_1m_pop,Total Cases per 1m Population,349.9
2020-03-15,Italy,death_rate,Death Rate,6.81
2020-03-15,Iran,total_cases,Total Cases,12729
2020-03-15,Iran,new_cases,New Cases,1365
2020-03-15,Iran,total_deaths,Total Deaths,611
2020-03-15,Iran,new_deaths,NA,97
2020-03-15,Iran,total_recovered,Total Recovered,4339
2020-03-15,Iran,active_cases,Active Cases,7779
2020-03-15,Iran,serious_critical,Serious Critical,NA
2020-03-15,Iran,tot_cases_1m_pop,Total Cases per 1m Population,151.5
2020-03-15,Iran,death_rate,Death Rate,4.8
2020-03-15,South Korea,total_cases,Total Cases,8086
2020-03-15,South Korea,new_cases,New Cases,107
2020-03-15,South Korea,total_deaths,Total Deaths,72
2020-03-15,South Korea,new_deaths,NA,5
2020-03-15,South Korea,total_recovered,Total Recovered,714
2020-03-15,South Korea,active_cases,Active Cases,7300
2020-03-15,South Korea,serious_critical,Serious Critical,59
2020-03-15,South Korea,tot_cases_1m_pop,Total Cases per 1m Population,157.7
2020-03-15,South Korea,death_rate,Death Rate,0.89
2020-03-15,Spain,total_cases,Total Cases,6315
2020-03-15,Spain,new_cases,New Cases,1083
2020-03-15,Spain,total_deaths,Total Deaths,193
2020-03-15,Spain,new_deaths,NA,60
